Latitude,Longitude,Altitude,temp,pressure,wind_speed,clouds_all,Wind_Sin,Wind_Cos
52.344517,4.643335,514.169,282.1203,1006.44885,15.563156,97.98287,-0.46519423,-0.81671184
52.35865,4.616511,629.1202,281.9087,1006.7101,15.336441,96.63301,-0.44075453,-0.79505605
52.380974,4.5728173,758.4014,281.70465,1006.924,15.14998,95.43452,-0.42027342,-0.77904266
52.402992,4.5302815,904.9073,281.52005,1007.1192,14.987718,94.35116,-0.40404546,-0.7671531
52.42259,4.495156,1069.966,281.35355,1007.3082,14.841519,93.37151,-0.39142406,-0.7582256
52.43949,4.4684587,1251.7863,281.20044,1007.49646,14.70661,92.48723,-0.38172245,-0.75153273
52.454,4.449468,1447.9855,281.05646,1007.686,14.580024,91.68972,-0.37435263,-0.74661523
52.466568,4.4369044,1656.3331,280.91827,1007.8775,14.459858,90.97043,-0.36885434,-0.7431785
52.47763,4.42944,1875.005,280.78375,1008.071,14.344861,90.32095,-0.3648876,-0.7410277
52.48751,4.4259257,2102.751,280.65164,1008.2664,14.234207,89.732834,-0.36222738,-0.74003
52.496387,4.425719,2339.3018,280.5218,1008.464,14.127238,89.19829,-0.3607502,-0.7400773
52.504375,4.42845,2583.9697,280.3939,1008.6633,14.023218,88.714516,-0.360346,-0.7410711
52.511658,4.433807,2836.7568,280.26767,1008.86487,13.921394,88.27773,-0.36092126,-0.7429025
52.518345,4.4415107,3097.6904,280.14276,1009.06903,13.821104,87.88464,-0.36239415,-0.7454803
52.524548,4.451308,3366.8818,280.01895,1009.2762,13.721749,87.53227,-0.36469334,-0.7487254
52.530357,4.462976,3644.538,279.89594,1009.48676,13.622785,87.217926,-0.3677572,-0.7525686
52.535847,4.4763274,3930.9268,279.7736,1009.70123,13.523708,86.93917,-0.3715325,-0.75694835
52.541084,4.4912095,4226.3994,279.65167,1009.92,13.424048,86.693794,-0.3759737,-0.7618086
52.54612,4.507506,4531.374,279.53015,1010.14343,13.323353,86.47982,-0.3810408,-0.7670972
52.551,4.525126,4846.331,279.40894,1010.37213,13.2211895,86.295494,-0.3866983,-0.7727646
52.555748,4.544007,5171.802,279.288,1010.6065,13.117133,86.139275,-0.3929144,-0.77876234
52.5604,4.564095,5508.3584,279.1673,1010.8469,13.010768,86.00977,-0.3996585,-0.7850419
52.56497,4.585364,5856.624,279.04688,1011.0939,12.901686,85.905815,-0.4069016,-0.79155344
52.569466,4.6077952,6217.253,278.9268,1011.34784,12.7894745,85.82634,-0.41461492,-0.79824436
52.5739,4.631389,6590.915,278.80713,1011.60913,12.673731,85.77046,-0.4227687,-0.8050589
52.578266,4.6561503,6978.325,278.68796,1011.8783,12.554049,85.73743,-0.43133157,-0.81193626
52.58256,4.6821027,7380.1885,278.56946,1012.1555,12.430026,85.72659,-0.44027042,-0.81880933
52.586773,4.70927,7797.2197,278.45178,1012.4413,12.301267,85.73745,-0.4495477,-0.8256042
52.590885,4.7376924,8230.118,278.33508,1012.7357,12.167379,85.76957,-0.4591226,-0.8322388
52.594875,4.7674165,8679.558,278.21964,1013.03906,12.027983,85.82259,-0.46894896,-0.8386212
52.598717,4.798495,9146.159,278.10565,1013.35144,11.882718,85.896225,-0.47897494,-0.8446502
52.602383,4.8309875,9630.478,277.99338,1013.6727,11.731252,85.99018,-0.48914254,-0.85021335
52.60583,4.864965,10132.976,277.8831,1014.0028,11.573285,86.10422,-0.49938697,-0.85518754
52.609024,4.900496,10653.995,277.77502,1014.3415,11.40857,86.23801,-0.5096372,-0.859439
52.611927,4.9376626,11193.724,277.66943,1014.68823,11.236922,86.391174,-0.51981527,-0.86282414
52.614487,4.9765515,11752.185,277.56662,1015.04236,11.058238,86.563225,-0.52983916,-0.8651913
52.616665,5.017245,12329.177,277.46667,1015.40314,10.872515,86.7535,-0.53962165,-0.866383
52.618416,5.059834,12924.263,277.36984,1015.7695,10.679874,86.96116,-0.54907507,-0.86623985
52.619705,5.104405,13536.743,277.27612,1016.14014,10.480578,87.185104,-0.5581129,-0.86460507
52.620495,5.151049,14165.625,277.18558,1016.5137,10.275053,87.42395,-0.5666538,-0.8613296
52.620766,5.199838,14809.611,277.09805,1016.8886,10.063908,87.67604,-0.5746261,-0.85627925
52.620502,5.2508426,15467.1045,277.0134,1017.2632,9.847944,87.93943,-0.5819718,-0.8493413
52.619705,5.3041186,16136.2,276.93127,1017.6355,9.628163,88.21186,-0.5886513,-0.84043175
52.61839,5.359699,16814.719,276.85135,1018.0037,9.405758,88.490875,-0.59464705,-0.8295017
52.61659,5.4175982,17500.232,276.77313,1018.3661,9.182093,88.773796,-0.59996575,-0.8165428
52.61434,5.4778056,18190.113,276.69614,1018.7207,8.958669,89.0579,-0.6046383,-0.80159026
52.611706,5.54028,18881.602,276.61978,1019.066,8.73707,89.34043,-0.60871935,-0.7847233
